Date,Open,High,Low,Close,Adj Close,Volume
2015-11-10,123.199997,123.730003,123.08000200000001,123.589996,111.523849,202700
2015-11-11,124.040001,124.040001,123.230003,123.230003,111.19899699999999,146800
2015-11-12,122.889999,122.889999,121.510002,121.730003,109.845451,282000
2015-11-13,122.139999,122.489998,121.199997,121.269997,109.430351,289500
2015-11-16,121.0,122.089996,120.989998,122.040001,110.125183,183900
2015-11-17,122.790001,123.68,122.550003,123.150002,111.12680800000001,225000
2015-11-18,123.610001,124.949997,123.379997,124.910004,112.71498100000001,217500
2015-11-19,123.860001,124.470001,123.760002,123.889999,111.794556,213000
2015-11-20,124.029999,124.139999,123.349998,123.66999799999999,111.596046,158700
2015-11-23,123.599998,123.889999,122.660004,123.120003,111.099747,175700
2015-11-24,123.809998,124.190002,123.239998,124.019997,111.911873,242600
2015-11-25,124.019997,124.019997,123.610001,123.860001,111.767494,110500
2015-11-27,124.480003,124.739998,124.260002,124.370003,112.22770700000001,63900
2015-11-30,124.800003,124.839996,124.199997,124.41999799999999,112.272827,189700
2015-12-01,125.75,126.379997,125.550003,125.91999799999999,113.62635800000001,201100
2015-12-02,126.809998,127.050003,125.470001,125.739998,113.463936,252600
2015-12-03,126.629997,126.650002,124.529999,124.720001,112.54353300000001,601400
2015-12-04,124.58000200000001,125.900002,124.58000200000001,125.900002,113.608322,279900
2015-12-07,125.489998,125.599998,124.510002,125.150002,112.931549,161000
2015-12-08,123.099998,123.099998,121.959999,122.519997,110.558319,516000
2015-12-09,124.099998,124.730003,123.050003,123.900002,111.80358899999999,340900
2015-12-10,125.0,125.400002,124.599998,124.889999,112.69693000000001,255600
2015-12-11,124.040001,124.220001,122.910004,123.66999799999999,111.596046,463000
2015-12-14,123.589996,123.879997,121.66999799999999,122.5,110.54026,402200
2015-12-15,122.57,122.970001,122.120003,122.16999799999999,110.24248500000002,245200
2015-12-16,125.059998,126.889999,124.849998,126.660004,114.294128,493100
2015-12-17,126.349998,126.629997,124.709999,124.800003,112.615723,352800
2015-12-18,124.83000200000001,125.0,123.949997,124.389999,112.24574299999999,359000
2015-12-21,124.75,125.389999,123.650002,124.650002,112.48036200000001,274100
2015-12-22,125.480003,126.0,124.800003,125.58000200000001,113.319572,332800
2015-12-23,126.660004,127.279999,126.230003,127.150002,114.736282,298400
2015-12-24,125.400002,126.110001,125.400002,125.769997,113.491013,102300
2015-12-28,124.43,124.849998,124.230003,124.470001,112.31794,283800
2015-12-29,124.089996,125.08000200000001,124.089996,124.760002,112.57961999999999,160400
2015-12-30,124.400002,124.43,123.110001,123.220001,111.18996399999999,334100
2015-12-31,123.349998,124.33000200000001,122.650002,123.040001,111.02755,221000
2016-01-04,121.519997,122.260002,120.16999799999999,121.459999,109.601799,413500
2016-01-05,121.540001,121.540001,120.160004,121.139999,109.31304899999999,306400
2016-01-06,118.57,118.800003,117.760002,118.379997,106.822502,277600
2016-01-07,116.08000200000001,116.639999,115.459999,115.57,104.28685,407500
2016-01-08,116.32,116.68,112.91999799999999,113.059998,102.021889,635800
2016-01-11,114.260002,114.879997,113.459999,114.809998,103.60104399999999,501400
2016-01-12,116.650002,116.720001,114.470001,115.83000200000001,104.521477,341200
2016-01-13,117.199997,117.360001,114.540001,114.989998,103.763481,345800
2016-01-14,115.370003,116.629997,114.209999,116.290001,104.93656899999999,354100
2016-01-15,114.059998,114.16999799999999,111.889999,112.599998,101.606812,637000
2016-01-19,116.010002,116.099998,113.870003,115.019997,103.790543,485500
2016-01-20,112.300003,112.43,108.940002,111.510002,100.62323,1000200
2016-01-21,110.360001,112.050003,109.470001,111.099998,100.25325,285300
2016-01-22,115.110001,116.040001,114.82,115.949997,104.629745,595500
2016-01-25,114.370003,114.589996,113.209999,113.410004,102.33773000000001,248600
